// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B412BB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.0.2
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
38425		9.033323	0.462269	4.405832	-0.000000	-0.000000	0.248425				-0.002081	0.008623	-0.005830				-0.432129	0.026367	-0.746582	0.090335	0.004621	0.044054	1.000000	-0.000010	0.000043	-0.000029	5.987406	-63.878914	-14.338677	0.426555	-0.109034	0.897866	0.155563	0.986758	0.045924	-0.890983	0.120086	0.437868
38426		9.092645	0.460771	4.410450	0.000000	-0.000000	0.303665				0.008295	0.003764	-0.006272				-0.436768	0.028564	-0.741943	0.090927	0.004603	0.044103	1.000000	0.000041	0.000019	-0.000031	5.958395	-64.002917	-14.615930	0.424141	-0.110606	0.898816	0.160692	0.985955	0.045501	-0.891225	0.125134	0.435957
38427		9.112047	0.426908	4.397109	0.024832	-0.040721	0.313711				0.013131	0.007121	-0.004035				-0.429932	0.026367	-0.746582	0.091122	0.004264	0.043968	1.000000	0.000066	0.000036	-0.000020	5.981966	-63.939425	-14.471000	0.425383	-0.109782	0.898330	0.157880	0.986396	0.045784	-0.891136	0.122352	0.436929
38428		9.133542	0.447301	4.379868	0.053385	-0.026043	0.326414				0.012780	0.012906	-0.001578				-0.429932	0.026367	-0.744385	0.091338	0.004469	0.043793	1.000000	0.000064	0.000065	-0.000008	5.989550	-63.931976	-14.471291	0.425496	-0.109813	0.898273	0.157772	0.986410	0.045854	-0.891101	0.122212	0.437039
38429		9.151661	0.437081	4.392390	0.049909	-0.037510	0.347683				0.017086	0.019821	0.001678				-0.434326	0.026367	-0.744385	0.091521	0.004368	0.043915	1.000000	0.000085	0.000099	0.000008	5.995010	-63.920146	-14.466342	0.425685	-0.109823	0.898182	0.157611	0.986433	0.045915	-0.891039	0.122018	0.437219
38430		9.150785	0.437852	4.394138	0.049909	-0.037510	0.347683				0.024199	0.020358	0.001293				-0.427734	0.030762	-0.739746	0.091512	0.004374	0.043933	1.000000	0.000121	0.000102	0.000006	6.004880	-63.908623	-14.461894	0.425868	-0.109835	0.898094	0.157390	0.986464	0.046009	-0.890991	0.121757	0.437391
38431		9.160513	0.460543	4.399150	0.054790	-0.016780	0.359645				0.025618	0.017703	0.002126				-0.432129	0.026367	-0.739746	0.091609	0.004601	0.043984	1.000000	0.000128	0.000089	0.000011	6.014752	-63.898836	-14.456578	0.426027	-0.109834	0.898019	0.157153	0.986498	0.046101	-0.890957	0.121486	0.437535
38432		9.141633	0.448259	4.364974	0.077113	-0.032085	0.327155				0.031521	0.024194	0.007648				-0.431885	0.021973	-0.746582	0.091421	0.004479	0.043639	1.000000	0.000158	0.000121	0.000038	6.020954	-63.885510	-14.443373	0.426255	-0.109788	0.897916	0.156839	0.986544	0.046170	-0.890903	0.121149	0.437738
38433		9.150182	0.494603	4.395545	0.063199	0.015406	0.350336				0.029575	0.030409	0.007823				-0.432129	0.024170	-0.746582	0.091508	0.004943	0.043942	1.000000	0.000148	0.000152	0.000039	6.024844	-63.869158	-14.428883	0.426531	-0.109744	0.897791	0.156542	0.986589	0.046227	-0.890823	0.120825	0.437990
38434		9.096549	0.488938	4.426840	0.014585	0.018194	0.315621				0.035881	0.035750	0.006304				-0.434570	0.028564	-0.744385	0.090973	0.004884	0.044253	1.000000	0.000179	0.000179	0.000032	6.033698	-63.849168	-14.415846	0.426859	-0.109725	0.897637	0.156196	0.986639	0.046327	-0.890727	0.120432	0.438294
